month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,date,year
8,36.6,14,158.3,83.7,4.9,28.0,25.80497311827957,2001-08-01,2001
9,74.3,13,162.0,82.3,6.2,28.0,25.575833333333332,2001-09-01,2001
10,77.2,20,252.2,83.7,4.4,27.6,25.423387096774192,2001-10-01,2001
11,102.6,15,175.3,84.9,3.7,27.2,25.157083333333333,2001-11-01,2001
12,211.1,20,609.0,86.8,4.5,26.7,24.94233870967742,2001-12-01,2001
1,83.8,11,221.2,83.6,6.9,27.0,24.832795698924734,2002-01-01,2002
2,41.7,2,50.8,80.9,7.4,27.3,24.705357142857142,2002-02-01,2002
3,26.4,8,55.6,80.8,7.6,28.2,25.528494623655913,2002-03-01,2002
4,39.4,13,116.5,82.3,6.6,28.6,26.137222222222224,2002-04-01,2002
5,75.9,13,236.6,82.3,6.2,28.9,26.417473118279567,2002-05-01,2002
6,45.8,12,83.1,82.1,6.3,28.7,26.222638888888888,2002-06-01,2002
7,69.5,11,233.7,82.7,6.8,28.4,26.05510752688172,2002-07-01,2002
8,17.8,14,54.2,79.2,6.7,28.5,25.624193548387098,2002-08-01,2002
9,38.9,9,124.2,81.7,5.5,28.1,25.545555555555556,2002-09-01,2002
10,3.2,7,10.8,79.8,6.2,28.7,25.8383064516129,2002-10-01,2002
11,84.0,15,307.2,85.8,4.6,27.4,25.498333333333335,2002-11-01,2002
12,38.6,24,255.0,88.7,4.8,27.2,25.680779569892472,2002-12-01,2002
1,194.4,20,444.2,86.9,4.7,26.7,24.92970430107527,2003-01-01,2003
2,82.2,13,172.9,85.0,5.8,27.1,25.08764880952381,2003-02-01,2003
3,38.3,11,154.6,83.8,6.9,28.1,25.84704301075269,2003-03-01,2003
4,42.9,20,159.9,86.7,5.1,27.9,26.094305555555554,2003-04-01,2003
5,33.0,11,81.8,81.7,5.8,29.2,26.612903225806452,2003-05-01,2003
6,23.2,12,50.3,78.5,7.0,28.9,25.949166666666667,2003-06-01,2003
7,30.9,14,170.4,81.7,5.6,28.1,25.63454301075269,2003-07-01,2003
8,64.4,13,193.6,83.1,6.1,28.2,25.92486559139785,2003-08-01,2003
9,60.0,15,205.3,84.8,5.0,27.6,25.566666666666666,2003-09-01,2003
10,56.6,21,351.4,84.9,5.1,27.6,25.548521505376346,2003-10-01,2003
11,41.3,19,133.8,87.3,4.2,27.1,25.443055555555553,2003-11-01,2003
12,92.1,17,273.0,87.2,3.9,26.5,24.871505376344086,2003-12-01,2003
