,date,specialist outpatient clinics,accident & emergency departments,polyclinics
370,1993-02-01,147504,40611,279974
371,1993-01-01,137615,51042,234682
372,1992-12-01,150201,49344,254389
373,1992-11-01,147618,41923,254616
374,1992-10-01,148542,43389,239132
375,1992-09-01,151479,42659,259872
376,1992-08-01,149011,50365,252654
377,1992-07-01,160374,46643,246377
378,1992-06-01,145748,45302,252366
379,1992-05-01,137870,46996,229647
380,1992-04-01,143679,42644,210475
381,1992-03-01,152685,43761,255738
382,1992-02-01,121927,44641,214154
383,1992-01-01,153793,47672,249204
384,1991-12-01,133319,44688,231021
385,1991-11-01,136379,40979,229610
386,1991-10-01,143575,40983,246811
387,1991-09-01,128850,45171,229265
388,1991-08-01,133742,47971,225536
389,1991-07-01,144933,47082,241241
390,1991-06-01,122144,46693,214685
391,1991-05-01,134113,48778,232891
392,1991-04-01,133120,43660,221483
393,1991-03-01,123240,46209,221703
394,1991-02-01,110647,44007,195841
395,1991-01-01,134334,45281,220876
396,1990-12-01,117093,46459,226234
397,1990-11-01,133843,44541,245535
398,1990-10-01,131874,45610,260381
399,1990-09-01,115209,42724,223640
400,1990-08-01,131691,45546,237486
401,1990-07-01,124255,47628,238081
402,1990-06-01,120387,44424,239338
403,1990-05-01,120961,44478,236560
404,1990-04-01,109823,41081,216709
405,1990-03-01,124230,43063,245879
406,1990-02-01,113554,40161,215635
407,1990-01-01,113065,47856,221470
408,1989-12-01,110629,43059,231630
409,1989-11-01,118645,40467,230520
410,1989-10-01,120669,43240,232826
411,1989-09-01,115032,42086,237370
412,1989-08-01,120266,42422,241354
413,1989-07-01,112002,44955,244639
414,1989-06-01,113888,44277,265613
415,1989-05-01,107991,46003,245225
416,1989-04-01,102533,40887,237782
417,1989-03-01,117848,42969,255394
418,1989-02-01,94190,41588,219215
419,1989-01-01,112402,42481,243908
420,1988-12-01,108181,41895,270762
421,1988-11-01,111361,38142,250500
422,1988-10-01,116897,41664,244846
423,1988-09-01,121138,40714,253049
424,1988-08-01,124388,40830,256665
425,1988-07-01,115938,40639,241924
426,1988-06-01,121781,37870,248341
427,1988-05-01,109297,42209,223333
428,1988-04-01,115979,41136,248306
429,1988-03-01,123148,41375,266283
430,1988-02-01,103465,40199,221929
431,1988-01-01,114777,39089,238097
432,1987-12-01,115127,38663,261222
433,1987-11-01,112335,38085,251897
434,1987-10-01,115514,37763,256216
435,1987-09-01,115306,35360,245706
436,1987-08-01,105987,39126,243154
437,1987-07-01,124077,35554,251215
438,1987-06-01,117786,33988,239664
439,1987-05-01,101491,35922,219142
440,1987-04-01,114022,34127,245888
441,1987-03-01,114172,36113,262136
442,1987-02-01,105174,34188,254215
443,1987-01-01,98721,37771,240542
